legal_dong_code,legal_dong_tip,COL_ADM_SECT_CD,SGG_OID,center_latitude,center_longitude,radius_km,filename
2671025031,석산리,26710,4818,35.20772683248894,129.21233429614009,1.304,LSMD_ADM_SECT_RI_26_202511.shp
2671025033,시랑리,26710,5075,35.195074771110555,129.21896873125294,1.772,LSMD_ADM_SECT_RI_26_202511.shp
2671025032,당사리,26710,4817,35.191674134607425,129.20995955585573,0.79,LSMD_ADM_SECT_RI_26_202511.shp
2671025932,횡계리,26710,4771,35.272885671794,129.21874409217807,1.324,LSMD_ADM_SECT_RI_26_202511.shp
2671025624,월평리,26710,4785,35.362678311654776,129.13445047603432,1.482,LSMD_ADM_SECT_RI_26_202511.shp
2671025623,임곡리,26710,4787,35.34731230659192,129.13913476508318,1.716,LSMD_ADM_SECT_RI_26_202511.shp
2671025627,모전리,26710,4788,35.33737472204562,129.16144305639915,1.523,LSMD_ADM_SECT_RI_26_202511.shp
2671025628,용수리,26710,4789,35.33389010631018,129.1732714148711,2.679,LSMD_ADM_SECT_RI_26_202511.shp
2671025327,용소리,26710,4755,35.347901334102055,129.22889629518423,2.776,LSMD_ADM_SECT_RI_26_202511.shp
2671025024,죽성리,26710,4810,35.245073123050595,129.2391361674514,1.811,LSMD_ADM_SECT_RI_26_202511.shp
2671025022,교리,26710,4811,35.25515591544295,129.21487362911327,0.807,LSMD_ADM_SECT_RI_26_202511.shp
2671025334,길천리,26710,4753,35.33379286315039,129.28444786730287,1.561,LSMD_ADM_SECT_RI_26_202511.shp
2671025629,두명리,26710,4786,35.3529112741906,129.1545983757882,1.899,LSMD_ADM_SECT_RI_26_202511.shp
2671033024,송정리,26710,4790,35.30564209904592,129.13224997092186,2.394,LSMD_ADM_SECT_RI_26_202511.shp
2671025023,신천리,26710,4812,35.24187068734922,129.22852128087786,1.199,LSMD_ADM_SECT_RI_26_202511.shp
2671025330,월내리,26710,4754,35.3283409997027,129.27194336290364,1.391,LSMD_ADM_SECT_RI_26_202511.shp
2671025021,동부리,26710,4813,35.24855897222147,129.2181530756775,0.941,LSMD_ADM_SECT_RI_26_202511.shp
2671025026,대라리,26710,4814,35.23678393401982,129.20236561824086,1.769,LSMD_ADM_SECT_RI_26_202511.shp
2671025924,동백리,26710,4819,35.289035497403326,129.24991914415222,1.669,LSMD_ADM_SECT_RI_26_202511.shp
2671033022,장전리,26710,5058,35.269787030956124,129.1378459830463,2.76,LSMD_ADM_SECT_RI_26_202511.shp
2671033031,임기리,26710,5057,35.32503341645225,129.1355050783596,2.667,LSMD_ADM_SECT_RI_26_202511.shp
2671033028,이곡리,26710,5059,35.272921608122616,129.1833532691144,1.889,LSMD_ADM_SECT_RI_26_202511.shp
2671025027,청강리,26710,5076,35.22914433337462,129.21440193590308,2.286,LSMD_ADM_SECT_RI_26_202511.shp
2671025324,좌동리,26710,5079,35.326161209737194,129.2441003222178,1.552,LSMD_ADM_SECT_RI_26_202511.shp
2671025930,원리,26710,5074,35.30778337644067,129.22942050293608,2.146,LSMD_ADM_SECT_RI_26_202511.shp
2671025929,청광리,26710,4796,35.29626261031257,129.23243684870062,1.396,LSMD_ADM_SECT_RI_26_202511.shp
2671025931,화전리,26710,4797,35.285138562451436,129.2275972853211,1.588,LSMD_ADM_SECT_RI_26_202511.shp
2671025331,반룡리,26710,5081,35.33708083310709,129.2625724295353,2.041,LSMD_ADM_SECT_RI_26_202511.shp
2671025323,고리,26710,4744,35.32235623587446,129.2933340791931,0.907,LSMD_ADM_SECT_RI_26_202511.shp
2671025322,효암리,26710,4743,35.33014776255234,129.29862041737715,1.173,LSMD_ADM_SECT_RI_26_202511.shp
2671033026,연구리,26710,4802,35.27498728236301,129.16395622110673,2.045,LSMD_ADM_SECT_RI_26_202511.shp
2671033023,백길리,26710,4801,35.288595833734966,129.1544008030185,1.269,LSMD_ADM_SECT_RI_26_202511.shp
2671025332,임랑리,26710,5080,35.319220441201026,129.25597659446186,1.254,LSMD_ADM_SECT_RI_26_202511.shp
2671025025,서부리,26710,4808,35.24727834574828,129.20186169490702,1.125,LSMD_ADM_SECT_RI_26_202511.shp
2671025622,매학리,26710,4791,35.316601338724126,129.1658048107965,1.724,LSMD_ADM_SECT_RI_26_202511.shp
