LAWD_CD,SIDO_NM,SGG_NM,UMD_NM,RI_NM,full_address,CRE_DT,DEL_DT,OLD_LAWDCD,FRST_REGIST_DT,LAST_UPDT_DT,COL_ADM_SECT_CD,center_latitude,center_longitude,radius_km,filename,SGG_OID,Exception,center_address,verified
4790043030,경상북도,예천군,은풍면,시항리,경상북도 예천군 은풍면 시항리,20160201,,,20250808,20250808,47900,36.74154188,128.4656243,1.576,LSMD_ADM_SECT_RI_47_202511.shp,149,0,경상북도 예천군 은풍면 시항리 173,1
4275038000,강원도,영월군,무릉도원면,,강원도 영월군 무릉도원면,20161116,20230611,,20250808,20250808,,,,,,,1,,
4812313400,경상남도,창원시 성산구,용지동,,경상남도 창원시 성산구 용지동,20210702,,,20250808,20250808,48120,35.23263624,128.6814946,0.313,LSMD_ADM_SECT_UMD_48_202511.shp,875,0,경상남도 창원시 성산구 용지동 551-1,1
4122012800,경기도,평택시,고덕동,,경기도 평택시 고덕동,20211115,,,20250808,20250808,41220,37.04392854,127.0393185,3.102,LSMD_ADM_SECT_UMD_41_202511.shp,18123,0,경기도 평택시 고덕동 2618-1,1
2671025927,부산광역시,기장군,일광읍,칠암리,부산광역시 기장군 일광읍 칠암리,20220331,,,20250808,20250808,26710,35.29932082,129.2562036,0.508,LSMD_ADM_SECT_RI_26_202511.shp,4822,0,부산광역시 기장군 일광읍 칠암리 188-1,1
4825012500,경상남도,김해시,부곡동,,경상남도 김해시 부곡동,20130702,,,20250808,20250808,48250,35.21208684,128.7958029,2.104,LSMD_ADM_SECT_UMD_48_202511.shp,4632,0,경상남도 김해시 부곡동 402-1,1
4825012600,경상남도,김해시,무계동,,경상남도 김해시 무계동,20130702,,,20250808,20250808,48250,35.2000567,128.8152527,1.121,LSMD_ADM_SECT_UMD_48_202511.shp,4305,0,경상남도 김해시 무계동 189-2,1
4159012900,경기도,화성시,오산동,,경기도 화성시 오산동,20150122,,,20250808,20250808,41590,37.19089331,127.0946066,1.82,LSMD_ADM_SECT_UMD_41_202511.shp,10354,0,경기도 화성시 오산동 220-5,1
4783025321,경상북도,고령군,대가야읍,쾌빈리,경상북도 고령군 대가야읍 쾌빈리,20150402,,,20250808,20250808,47830,35.7425627,128.2645994,1.501,LSMD_ADM_SECT_RI_47_202511.shp,251,0,경상북도 고령군 대가야읍 쾌빈리 산 15-2,1
4793040026,경상북도,울진군,매화면,기양리,경상북도 울진군 매화면 기양리,20150421,,,20250808,20250808,47930,36.89572859,129.3588388,3.281,LSMD_ADM_SECT_RI_47_202511.shp,223,0,경상북도 울진군 매화면 기양리 1444,1
4480025629,충청남도,홍성군,홍북읍,갈산리,충청남도 홍성군 홍북읍 갈산리,20170803,,,20250808,20250808,44800,36.66420243,126.715764,1.115,LSMD_ADM_SECT_RI_44_202511.shp,11,0,충청남도 홍성군 홍북읍 갈산리 138-4,1
4146125629,경기도,용인시 처인구,이동읍,서리,경기도 용인시 처인구 이동읍 서리,20171211,,,20250808,20250808,41460,37.20273492,127.171783,2.892,LSMD_ADM_SECT_RI_41_202511.shp,5960,0,경기도 용인시 처인구 이동읍 서리 산 161-1,1
4159013800,경기도,화성시,방교동,,경기도 화성시 방교동,20180122,,,20250808,20250808,41590,37.17273301,127.08812,1.456,LSMD_ADM_SECT_UMD_41_202511.shp,10355,0,경기도 화성시 방교동 826-5,1
4812314100,경상남도,창원시 성산구,퇴촌동,,경상남도 창원시 성산구 퇴촌동,20210702,,,20250808,20250808,48120,35.24212238,128.6758879,0.477,LSMD_ADM_SECT_UMD_48_202511.shp,29647,0,경상남도 창원시 성산구 퇴촌동 산 138-1,1
4167034523,경기도,여주시,세종대왕면,왕대리,경기도 여주시 세종대왕면 왕대리,20211230,,,20250808,20250808,41670,37.31211153,127.6040111,2.868,LSMD_ADM_SECT_RI_41_202511.shp,2021,0,경기도 여주시 세종대왕면 왕대리 901-1,1
4167034530,경기도,여주시,세종대왕면,광대리,경기도 여주시 세종대왕면 광대리,20211230,,,20250808,20250808,41670,37.259876,127.57619,1.526,LSMD_ADM_SECT_RI_41_202511.shp,2016,0,경기도 여주시 세종대왕면 광대리 248-3,1
2671025922,부산광역시,기장군,일광읍,이천리,부산광역시 기장군 일광읍 이천리,20220331,,,20250808,20250808,26710,35.27540047,129.241596,1.484,LSMD_ADM_SECT_RI_26_202511.shp,4762,0,부산광역시 기장군 일광읍 이천리 산 34-62,1
4415012700,충청남도,공주시,동현동,,충청남도 공주시 동현동,20120702,,,20250808,20250808,44150,36.47863492,127.1816156,1.771,LSMD_ADM_SECT_UMD_44_202511.shp,129,0,충청남도 공주시 동현동 280-8,1
4713031525,경상북도,경주시,문무대왕면,죽전리,경상북도 경주시 문무대왕면 죽전리,20210401,,,20250808,20250808,47130,35.75403596,129.3991775,1.698,LSMD_ADM_SECT_RI_47_202511.shp,778,0,경상북도 경주시 문무대왕면 죽전리 331,1
4159026200,경기도,화성시,남양읍,,경기도 화성시 남양읍,20141027,,,20250808,20250808,41590,37.20819118,126.8218175,7.692,LSMD_ADM_SECT_UMD_41_202511.shp,10271,0,경기도 화성시 남양읍 남양리 1663,1
4873025327,경상남도,함안군,칠원읍,용정리,경상남도 함안군 칠원읍 용정리,20150109,,,20250808,20250808,48730,35.28985017,128.5246974,2.342,LSMD_ADM_SECT_RI_48_202511.shp,9907,0,경상남도 함안군 칠원읍 용정리 산 117,1
4873025330,경상남도,함안군,칠원읍,운곡리,경상남도 함안군 칠원읍 운곡리,20150109,,,20250808,20250808,48730,35.31357151,128.5599884,2.141,LSMD_ADM_SECT_RI_48_202511.shp,5427,0,경상남도 함안군 칠원읍 운곡리 산 286-3,1
4793039022,경상북도,울진군,금강송면,하원리,경상북도 울진군 금강송면 하원리,20150421,,,20250808,20250808,47930,36.95037953,129.2735646,3.604,LSMD_ADM_SECT_RI_47_202511.shp,235,0,경상북도 울진군 금강송면 하원리 산 38,1
4793040024,경상북도,울진군,매화면,덕신리,경상북도 울진군 매화면 덕신리,20150421,,,20250808,20250808,47930,36.87575503,129.4050796,1.577,LSMD_ADM_SECT_RI_47_202511.shp,272,0,경상북도 울진군 매화면 덕신리 산 44-2,1
4272035221,강원도,홍천군,영귀미면,속초리,강원도 홍천군 영귀미면 속초리,20210531,20230611,,20250808,20250808,,,,,,,1,,
2671025925,부산광역시,기장군,일광읍,문중리,부산광역시 기장군 일광읍 문중리,20220331,,,20250808,20250808,26710,35.30334961,129.2533245,0.604,LSMD_ADM_SECT_RI_26_202511.shp,4823,0,부산광역시 기장군 일광읍 문중리 213,1
4679039522,전라남도,화순군,백아면,옥리,전라남도 화순군 백아면 옥리,20191230,,,20250808,20250808,46790,35.15974184,127.0858633,2.016,LSMD_ADM_SECT_RI_46_202511.shp,640,0,전라남도 화순군 백아면 옥리 484-6,1
4679039527,전라남도,화순군,백아면,송단리,전라남도 화순군 백아면 송단리,20191230,,,20250808,20250808,46790,35.18132712,127.1734326,2.515,LSMD_ADM_SECT_RI_46_202511.shp,633,0,전라남도 화순군 백아면 송단리 산 116-1,1
